,method,auc,xmin,xmax,x_occluded_fraction,f_remaining,imputer_pf,auc_diff,auc_normalized,auc_diff_normalized,auc_baseline,model,n_superpixel,identifier_exp
28,random,0.6234880687569206,0.0,1.0,"[0.         0.00990307 0.01978004 0.02982661 0.04992081 0.06989849
 0.09979286 0.12973938 0.18972875 0.25961137 0.3697148  0.51014529
 0.71083021 1.        ]","[0.8902086  0.88924687 0.89656449 0.88288061 0.87961793 0.86226358
 0.85788023 0.86388152 0.83489609 0.80580919 0.75779043 0.60158372
 0.65094794 0.00491355]",cv2,0.0,1.0,0.0,0.6234880687569206,timm_resnet50,100,28
4,random,0.625355475567628,0.0,1.0,"[0.         0.03978741 0.0793857  0.11959908 0.1993736  0.23970152
 0.27944761 0.35997097 0.47989663 0.60048044 0.76100274 1.        ]","[0.79858972 0.78791842 0.78361771 0.7702778  0.76202288 0.75367117
 0.72907666 0.70924762 0.63292979 0.51972116 0.40994965 0.65939086]",diffusion,0.0,1.0,0.0,0.625355475567628,ResNet50,25,4
27,random,0.6504423522932625,0.0,1.0,"[0.         0.00999342 0.01990474 0.02989756 0.04982143 0.0698201
 0.09974975 0.1296392  0.18954261 0.25974543 0.36974935 0.50994592
 0.71044032 1.        ]","[0.8902086  0.88985478 0.89384552 0.89727007 0.89129377 0.89214515
 0.89250075 0.89126572 0.86473587 0.85929615 0.82047687 0.79454825
 0.55368844 0.00491355]",ConstantValueImputer,0.0,1.0,0.0,0.6504423522932625,timm_resnet50,100,27
21,random,0.6539796711806253,0.0,1.0,"[0.         0.03987517 0.07925728 0.11927974 0.1987878  0.23863667
 0.27874781 0.35969301 0.48054707 0.60129152 0.76104824 1.        ]","[0.8902086  0.88478454 0.8768446  0.87803045 0.88074007 0.85757784
 0.85165344 0.83356436 0.76135528 0.70284103 0.49463439 0.01862116]",ColorHistogram,0.0,1.0,0.0,0.6539796711806253,timm_resnet50,25,21
22,random,0.6589339807774965,0.0,1.0,"[0.         0.03967362 0.07979486 0.1197449  0.19958918 0.23969308
 0.27932358 0.35971494 0.4796404  0.60086024 0.76096454 1.        ]","[0.8902086  0.87829535 0.86922703 0.86860973 0.87586126 0.87122488
 0.87600133 0.83474388 0.78214857 0.68984628 0.52131767 0.00491355]",ConstantValueImputer,0.0,1.0,0.0,0.6589339807774965,timm_resnet50,25,22
9,random,0.6600873293898195,0.0,1.0,"[0.         0.00992134 0.01988009 0.02982967 0.04980874 0.0696794
 0.09976031 0.12972317 0.19006743 0.2601409  0.37019372 0.51067529
 0.71106904 1.        ]","[0.79858972 0.79755856 0.79620531 0.79240487 0.79326064 0.79312892
 0.78622544 0.78488865 0.77398876 0.76508246 0.7246219  0.6702663
 0.46879018 0.65533719]",diffusion,0.0,1.0,0.0,0.6600873293898195,ResNet50,100,9
30,random,0.6612373110928008,0.0,1.0,"[0.         0.00201272 0.00403978 0.0060796  0.01015884 0.01836775
 0.0285879  0.04504531 0.0697358  0.11095677 0.17282366 0.27214518
 0.42342494 0.66166082 1.        ]","[0.8902086  0.8915517  0.8955013  0.89410563 0.89374781 0.88217057
 0.86679171 0.85757749 0.8255877  0.8134109  0.7267175  0.62291093
 0.47712992 0.56065401 0.89170535]",TrainSet,0.0,1.0,0.0,0.6612373110928008,timm_resnet50,500,30
38,random,0.6716574796122631,0.0,0.8894581074617348,"[0.00000000e+00 1.66812819e-04 5.09406888e-04 1.02771577e-03
 1.89585991e-03 3.47131431e-03 6.62341890e-03 1.22555272e-02
 2.26859455e-02 4.20114530e-02 7.75004650e-02 1.42731053e-01
 2.62796158e-01 4.83829985e-01 8.89458107e-01]","[0.8902086  0.88941286 0.88896592 0.8886197  0.88758782 0.8853768
 0.8849059  0.88570256 0.89008898 0.8911533  0.89034659 0.88520939
 0.87256381 0.73947138 0.54803419]",cv2,0.0,1.0,0.0,0.6716574796122631,timm_resnet50,5000,38
39,random,0.6996416120177548,0.0,0.8894298070790819,"[0.00000000e+00 1.66812819e-04 5.10004783e-04 1.02838010e-03
 1.90190529e-03 3.47556601e-03 6.63783482e-03 1.22884779e-02
 2.27102599e-02 4.19984322e-02 7.75069090e-02 1.42738361e-01
 2.62821801e-01 4.83793115e-01 8.89429807e-01]","[0.89000733 0.88981919 0.88973844 0.88969735 0.88909627 0.88874428
 0.88869071 0.8870167  0.89000065 0.89256842 0.89003008 0.88831891
 0.89534918 0.89245885 0.42892042]",diffusion,0.0,1.0,0.0,0.6996416120177548,timm_resnet50,5000,39
14,random,0.7174354456630526,0.0,1.0,"[0.         0.00201883 0.00404363 0.00607076 0.01016263 0.01834018
 0.02859887 0.0449521  0.06973905 0.11090183 0.17278393 0.27199524
 0.42326703 0.66163783 1.        ]","[0.79858972 0.79814946 0.79699973 0.79812886 0.79880902 0.79767357
 0.79826011 0.79420136 0.79243801 0.79052439 0.79148309 0.78481761
 0.76261001 0.6178723  0.68623144]",diffusion,0.0,1.0,0.0,0.7174354456630526,ResNet50,500,14
24,random,0.7293541417416013,0.0,1.0,"[0.         0.03959629 0.08008311 0.12038485 0.20077919 0.24016455
 0.28028048 0.36066001 0.48019106 0.60098752 0.76097643 1.        ]","[0.89000733 0.8865791  0.87769605 0.88624949 0.86845352 0.85161003
 0.84951724 0.82725793 0.76771751 0.64049453 0.49175803 0.73031335]",diffusion,0.0,1.0,0.0,0.7293541417416013,timm_resnet50,25,24
25,random,0.7552270158898694,0.0,1.0,"[0.         0.00991065 0.01988162 0.02984388 0.04961648 0.06951644
 0.09958254 0.12941679 0.18933893 0.25931847 0.36945518 0.50971779
 0.71025849 1.        ]","[0.8902086  0.89279622 0.88823395 0.88378024 0.89051439 0.87424807
 0.853144   0.83449704 0.80672308 0.75777313 0.66950769 0.61236094
 0.72263511 0.90758111]",TrainSet,0.0,1.0,0.0,0.7552270158898694,timm_resnet50,100,25
29,random,0.7609046887086519,0.0,1.0,"[0.         0.00992732 0.0198005  0.02974908 0.04979014 0.06975825
 0.09981425 0.12974636 0.18972258 0.25996705 0.37034671 0.51038896
 0.71032738 1.        ]","[0.89000733 0.89288404 0.89342525 0.89443861 0.89545225 0.89400587
 0.89548208 0.89172693 0.87043029 0.85814152 0.84542541 0.79975208
 0.55345457 0.73662933]",diffusion,0.0,1.0,0.0,0.7609046887086519,timm_resnet50,100,29
20,random,0.8056831141615768,0.0,1.0,"[0.         0.03967295 0.07943791 0.11944622 0.19926246 0.23924114
 0.27891675 0.35900583 0.47870084 0.60023929 0.76130959 1.        ]","[0.8902086  0.88285619 0.86100401 0.85347846 0.82029237 0.82114765
 0.79514968 0.78153887 0.75423585 0.76543514 0.78202441 0.8757413 ]",TrainSet,0.0,1.0,0.0,0.8056831141615768,timm_resnet50,25,20
34,random,0.8079803723020768,0.0,1.0,"[0.         0.00201458 0.00406974 0.0061279  0.0102278  0.01839605
 0.02870018 0.04514874 0.0697714  0.11103057 0.17298954 0.2721687
 0.42335047 0.66144691 1.        ]","[0.89000733 0.89024764 0.89007897 0.88992021 0.89032122 0.88794131
 0.88989114 0.89007173 0.89169753 0.90200638 0.89405248 0.88902382
 0.84555982 0.7178111  0.74475373]",diffusion,0.0,1.0,0.0,0.8079803723020768,timm_resnet50,500,34
