,method,auc,xmin,xmax,x_occluded_fraction,f_remaining,imputer_pf,auc_diff,auc_normalized,auc_diff_normalized,auc_baseline,model,n_superpixel,identifier_exp
72,input_x_gradients,0.07954307251105462,0.0,1.0,"[0.         0.00204573 0.00406941 0.00608631 0.01016249 0.01830889
 0.0284929  0.0448682  0.06932385 0.11024328 0.17187958 0.27083247
 0.422443   0.66268169 1.        ]","[6.90528001e-01 6.72661362e-01 6.66456686e-01 6.60233166e-01
 6.33527435e-01 5.91731933e-01 5.60022104e-01 5.11237542e-01
 4.21232188e-01 2.67896088e-01 1.57936780e-01 4.08383066e-02
 4.38257574e-03 2.46691790e-04 4.19371494e-03]",TrainSet,-0.015299981904478219,0.838681050512725,-0.16131894948727502,0.09484305441553284,ResNet50,500,10
111,gradients_nt,0.08407968334128078,0.0,0.8934044828869048,"[0.00000000e+00 1.79368622e-04 5.38105867e-04 1.07621173e-03
 1.97305485e-03 3.58723958e-03 6.81560906e-03 1.25558036e-02
 2.31360943e-02 4.26816938e-02 7.85443904e-02 1.44342182e-01
 2.65304993e-01 4.87532685e-01 8.93404483e-01]","[6.90591972e-01 6.88511180e-01 6.82455962e-01 6.77603007e-01
 6.64695753e-01 6.58984377e-01 6.36119750e-01 6.09280213e-01
 5.42997657e-01 4.82621677e-01 3.50108200e-01 1.86128850e-01
 7.27152040e-02 1.11782415e-02 3.49870314e-04]",TrainSet,0.028166236195447315,1.5037470882806443,0.5037470882806444,0.05591344714583347,ResNet50,5000,15
86,input_x_gradients,0.08572183416730035,0.0,1.0,"[0.         0.00204573 0.00406941 0.00608631 0.01016249 0.01830889
 0.0284929  0.0448682  0.06932385 0.11024328 0.17187958 0.27083247
 0.422443   0.66268169 1.        ]","[6.90528001e-01 6.72089510e-01 6.62459717e-01 6.60539244e-01
 6.39976425e-01 5.92795614e-01 5.76877278e-01 5.39675556e-01
 4.69838237e-01 3.22181012e-01 1.72075402e-01 4.60209926e-02
 3.32266154e-03 9.26750256e-05 8.07276397e-04]",ConstantValueImputer,-0.024062014145777147,0.7808237321289924,-0.21917626787100766,0.1097838483130775,ResNet50,500,12
246,ig,0.08591015127180936,0.0,0.888453377444728,"[0.00000000e+00 1.79368622e-04 5.38105867e-04 1.07621173e-03
 1.97066327e-03 3.58258929e-03 6.80584343e-03 1.25292969e-02
 2.30827487e-02 4.25665657e-02 7.83079560e-02 1.43864397e-01
 2.64147202e-01 4.84089272e-01 8.88453377e-01]","[7.59501803e-01 7.53275584e-01 7.45345810e-01 7.33151169e-01
 7.21839645e-01 6.91284278e-01 6.68944536e-01 6.27150846e-01
 5.67646222e-01 4.88524734e-01 3.55348153e-01 2.06519343e-01
 7.97759022e-02 4.10950795e-03 2.55260182e-04]",TrainSet,-0.016453521563023668,0.8392640562089645,-0.1607359437910355,0.10236367283483302,timm_resnet50,5000,35
259,ig_nt,0.0868614635981949,0.0,0.8883336654974491,"[0.00000000e+00 1.78770727e-04 5.37507972e-04 1.07481665e-03
 1.97106186e-03 3.58458227e-03 6.81142379e-03 1.25469016e-02
 2.31130421e-02 4.26304076e-02 7.84101297e-02 1.44011745e-01
 2.64382308e-01 4.84134580e-01 8.88333665e-01]","[0.7595018  0.75582359 0.74732833 0.74667686 0.74033113 0.7240593
 0.68604475 0.63733998 0.56620193 0.4633166  0.32697026 0.23627256
 0.06543746 0.01112757 0.00147902]",ConstantValueImputer,-0.08536917490101285,0.504332239345408,-0.49566776065459195,0.17223063849920775,timm_resnet50,5000,37
73,zennit,0.09078636315998984,0.0,1.0,"[0.         0.00204487 0.00405579 0.00606226 0.0100667  0.01812879
 0.02819801 0.04423317 0.06820133 0.10827241 0.16859926 0.26546144
 0.41346494 0.64898325 1.        ]","[6.90528001e-01 6.77570209e-01 6.45939167e-01 6.40511015e-01
 6.15066465e-01 5.65330117e-01 5.29109427e-01 4.73591027e-01
 4.15571217e-01 2.87608123e-01 1.73189087e-01 9.00644039e-02
 3.40927703e-02 4.56138477e-03 6.39511519e-05]",TrainSet,-0.004056691255543005,0.957227323808346,-0.04277267619165398,0.09484305441553284,ResNet50,500,10
252,ig_nt,0.09102652950430662,0.0,0.8883336654974491,"[0.00000000e+00 1.78770727e-04 5.37507972e-04 1.07481665e-03
 1.97106186e-03 3.58458227e-03 6.81142379e-03 1.25469016e-02
 2.31130421e-02 4.26304076e-02 7.84101297e-02 1.44011745e-01
 2.64382308e-01 4.84134580e-01 8.88333665e-01]","[0.7595018  0.75893853 0.75086757 0.75162999 0.73405769 0.72235226
 0.69023182 0.66135534 0.59982083 0.48489582 0.3607286  0.20274703
 0.08309645 0.0153199  0.00122875]",ColorHistogram,-0.05453773842489984,0.6253356733712723,-0.3746643266287277,0.14556426792920646,timm_resnet50,5000,36
79,input_x_gradients,0.09312569391626786,0.0,1.0,"[0.         0.00204573 0.00406941 0.00608631 0.01016249 0.01830889
 0.0284929  0.0448682  0.06932385 0.11024328 0.17187958 0.27083247
 0.422443   0.66268169 1.        ]","[0.690528   0.67524929 0.66619647 0.66738838 0.65177763 0.61389449
 0.58632377 0.55427293 0.47671568 0.37182212 0.1902536  0.05384444
 0.00937726 0.00103296 0.00087876]",ColorHistogram,-0.023230926468462726,0.8003471878811005,-0.1996528121188995,0.11635662038473059,ResNet50,500,11
115,input_x_gradients,0.09466627602898778,0.0,0.8886730043579931,"[0.00000000e+00 1.79368622e-04 5.36910077e-04 1.07441805e-03
 1.96827168e-03 3.57780612e-03 6.79209184e-03 1.25144824e-02
 2.30597630e-02 4.25214578e-02 7.81932929e-02 1.43592953e-01
 2.63722829e-01 4.83958134e-01 8.88673004e-01]","[6.90528001e-01 6.79784775e-01 6.66647170e-01 6.54681310e-01
 6.54212882e-01 6.35723407e-01 6.01774409e-01 5.83492450e-01
 5.29043617e-01 4.84429603e-01 3.79427469e-01 2.09669839e-01
 9.65320914e-02 2.39250279e-02 2.34115184e-04]",ColorHistogram,-0.002479122667937733,0.9744802872684469,-0.025519712731553113,0.09714539869692551,ResNet50,5000,16
74,random,0.09484305441553284,0.0,1.0,"[0.         0.00202839 0.00403978 0.00605077 0.01012915 0.01833413
 0.02859999 0.0449824  0.06979426 0.11105309 0.17291912 0.27241709
 0.42370994 0.66159804 1.        ]","[6.90528001e-01 6.86348391e-01 6.80597275e-01 6.80954486e-01
 6.78464212e-01 6.56253964e-01 6.35543470e-01 5.59757095e-01
 4.60270664e-01 3.56041902e-01 1.99657124e-01 6.35716888e-02
 6.74413508e-03 4.33281963e-04 4.73123635e-05]",TrainSet,0.0,1.0,0.0,0.09484305441553284,ResNet50,500,10
116,random,0.09714539869692551,0.0,0.8894095450680275,"[0.00000000e+00 1.63225446e-04 5.07613202e-04 1.02419483e-03
 1.89652423e-03 3.46898916e-03 6.62886639e-03 1.22591810e-02
 2.26840189e-02 4.19897959e-02 7.74887729e-02 1.42720225e-01
 2.62813895e-01 4.83793580e-01 8.89409545e-01]","[6.90528001e-01 6.90939543e-01 6.86315014e-01 6.85178188e-01
 6.78328191e-01 6.69533532e-01 6.33815874e-01 5.93739880e-01
 5.26448951e-01 4.48665269e-01 3.42393175e-01 2.31817650e-01
 1.22333856e-01 2.04696441e-02 2.74340919e-04]",ColorHistogram,0.0,1.0,0.0,0.09714539869692551,ResNet50,5000,16
123,gradients,0.1012905768979574,0.0,0.8923381032100344,"[0.00000000e+00 1.79368622e-04 5.36910077e-04 1.07441805e-03
 1.97066327e-03 3.58318718e-03 6.80943080e-03 1.25438457e-02
 2.31140386e-02 4.26401068e-02 7.84570313e-02 1.44166069e-01
 2.64964193e-01 4.86811291e-01 8.92338103e-01]","[6.90591972e-01 6.81490869e-01 6.77076471e-01 6.56754064e-01
 6.49412165e-01 6.46493801e-01 6.42089791e-01 6.15551151e-01
 5.78681280e-01 4.98539962e-01 3.71668299e-01 2.36036506e-01
 9.06140031e-02 3.49826389e-02 5.85555297e-04]",ConstantValueImputer,-0.0021835586319376293,0.9788975416827062,-0.021102458317293897,0.10347413552989503,ResNet50,5000,17
87,zennit,0.1013184495639258,0.0,1.0,"[0.         0.00204487 0.00405579 0.00606226 0.0100667  0.01812879
 0.02819801 0.04423317 0.06820133 0.10827241 0.16859926 0.26546144
 0.41346494 0.64898325 1.        ]","[0.690528   0.68061814 0.66163407 0.65666572 0.63257452 0.58795562
 0.54552826 0.49601183 0.44411184 0.33154635 0.21548753 0.10247731
 0.04233209 0.00387326 0.00080728]",ConstantValueImputer,-0.008465398749151698,0.9228903078255156,-0.07710969217448443,0.1097838483130775,ResNet50,500,12
247,random,0.10236367283483302,0.0,0.8894589710884356,"[0.00000000e+00 1.68008610e-04 5.09406888e-04 1.02598852e-03
 1.89233897e-03 3.45543686e-03 6.61551339e-03 1.22542650e-02
 2.26891342e-02 4.19909253e-02 7.74754863e-02 1.42727267e-01
 2.62821136e-01 4.83788797e-01 8.89458971e-01]","[7.59501803e-01 7.60346445e-01 7.57952598e-01 7.54108355e-01
 7.50738077e-01 7.45296012e-01 7.30272890e-01 7.13809954e-01
 6.45515946e-01 5.47185409e-01 4.20775802e-01 2.76176050e-01
 9.63400721e-02 5.55704745e-03 4.60371136e-04]",TrainSet,0.0,1.0,0.0,0.10236367283483302,timm_resnet50,5000,35
124,random,0.10347413552989503,0.0,0.8894425621811224,"[0.00000000e+00 1.61431760e-04 5.06151679e-04 1.02034173e-03
 1.89506271e-03 3.46991922e-03 6.62979645e-03 1.22769186e-02
 2.27018893e-02 4.20273305e-02 7.75197970e-02 1.42725938e-01
 2.62864185e-01 4.83863600e-01 8.89442562e-01]","[6.90528001e-01 6.91083998e-01 6.89031926e-01 6.89413431e-01
 6.89470732e-01 6.76624773e-01 6.54163107e-01 6.08141831e-01
 5.51645360e-01 4.88398122e-01 4.03963697e-01 2.73416520e-01
 1.13976581e-01 1.76374219e-02 9.22301969e-05]",ConstantValueImputer,0.0,1.0,0.0,0.10347413552989503,ResNet50,5000,17
248,input_x_gradients,0.10387542000052692,0.0,0.8885107754039114,"[0.00000000e+00 1.78770727e-04 5.37507972e-04 1.07561384e-03
 1.97126116e-03 3.58318718e-03 6.80524554e-03 1.25300276e-02
 2.30806893e-02 4.25571987e-02 7.82568692e-02 1.43732130e-01
 2.63978197e-01 4.83958134e-01 8.88510775e-01]","[7.59501803e-01 7.51990992e-01 7.43626689e-01 7.41163220e-01
 7.36184748e-01 7.16248310e-01 6.79111491e-01 6.48268766e-01
 6.00280654e-01 5.42269772e-01 4.48158092e-01 2.66916901e-01
 1.13528288e-01 3.18129855e-03 1.83965931e-04]",TrainSet,0.0015117471656938969,1.0147683951135003,0.014768395113500353,0.10236367283483302,timm_resnet50,5000,35
80,zennit,0.10457471798422498,0.0,1.0,"[0.         0.00204487 0.00405579 0.00606226 0.0100667  0.01812879
 0.02819801 0.04423317 0.06820133 0.10827241 0.16859926 0.26546144
 0.41346494 0.64898325 1.        ]","[0.690528   0.67590597 0.65486362 0.6493379  0.61917378 0.57933146
 0.55412483 0.50177124 0.4446513  0.33944155 0.21878314 0.10709323
 0.05057945 0.00522465 0.00090678]",ColorHistogram,-0.011781902400505612,0.8987431711100837,-0.1012568288899163,0.11635662038473059,ResNet50,500,11
117,gradients,0.10523355999577773,0.0,0.8923381032100344,"[0.00000000e+00 1.79368622e-04 5.36910077e-04 1.07441805e-03
 1.97066327e-03 3.58318718e-03 6.80943080e-03 1.25438457e-02
 2.31140386e-02 4.26401068e-02 7.84570313e-02 1.44166069e-01
 2.64964193e-01 4.86811291e-01 8.92338103e-01]","[6.90591972e-01 6.80244729e-01 6.76163467e-01 6.58313588e-01
 6.52010254e-01 6.50767797e-01 6.29200237e-01 5.84892516e-01
 5.42490138e-01 4.75926127e-01 3.80272551e-01 2.43754809e-01
 1.19892693e-01 3.26200416e-02 4.64861512e-04]",ColorHistogram,0.008088161298852217,1.0832583056670104,0.0832583056670104,0.09714539869692551,ResNet50,5000,16
35,zennit,0.10601596255468931,0.0,1.0,"[0.         0.00952846 0.01922905 0.02897846 0.04850081 0.06805246
 0.09749688 0.12695824 0.1858516  0.25486275 0.36384546 0.50291746
 0.7032754  1.        ]","[0.690528   0.64438259 0.60499528 0.57346813 0.50228359 0.44115663
 0.37083202 0.31747725 0.20911597 0.13938598 0.05240945 0.01715843
 0.00489599 0.00187691]",TrainSet,-0.07682180157643648,0.5798362447631871,-0.420163755236813,0.1828377641311258,ResNet50,100,5
